symptom,disease
Dysmorphic features,Trisomy 1q44-qter
Short fingers,Symphalangism distal
Lack of skin creases over fused joints,Symphalangism distal
Fused joints in fingers,Symphalangism distal
Fused toe joints,Symphalangism distal
Flattened femoral capital epiphyses,"Hip dysplasia, beukes type"
Progressive crippling,"Hip dysplasia, beukes type"
Hip pain,"Hip dysplasia, beukes type"
Irregular femoral capital epiphyses,"Hip dysplasia, beukes type"
Urinary urgency,"Spastic paraplegia 29, autosomal dominant"
Lower leg spasticity,"Spastic paraplegia 29, autosomal dominant"
Hiatal hernia,"Spastic paraplegia 29, autosomal dominant"
Increased reflexes in lower legs,"Spastic paraplegia 29, autosomal dominant"
Increased arm reflexes,"Spastic paraplegia 29, autosomal dominant"
Fundal changes,Karsch-neugenbauer syndrome
Split hand deformity,Karsch-neugenbauer syndrome
Rapid involuntary eye movements,Karsch-neugenbauer syndrome
Foot deformities,Karsch-neugenbauer syndrome
Cataract,Karsch-neugenbauer syndrome
Blocked back of nasal passages,"Arhinia, choanal atresia, and microphthalmia"
Absent nose,"Arhinia, choanal atresia, and microphthalmia"
Wide set eyes,"Arhinia, choanal atresia, and microphthalmia"
Inability to smell,"Arhinia, choanal atresia, and microphthalmia"
Small eyes,"Arhinia, choanal atresia, and microphthalmia"
Short statures,Arthrogryposis-like hand anomaly -- sensorineural deafness
Hearing loss,Arthrogryposis-like hand anomaly -- sensorineural deafness
Poorly muscled build,Arthrogryposis-like hand anomaly -- sensorineural deafness
Long thin fingers,Arthrogryposis-like hand anomaly -- sensorineural deafness
Restricted hand mobility,Arthrogryposis-like hand anomaly -- sensorineural deafness
Wasted build,Arthrogryposis-like hand anomaly -- sensorineural deafness
Winged shoulder blades,"Scapuloperoneal myopathy, myh7-related"
Progressive lower leg wasting,"Scapuloperoneal myopathy, myh7-related"
Foot drop,"Scapuloperoneal myopathy, myh7-related"
Progressive shoulder muscle weakness,"Scapuloperoneal myopathy, myh7-related"
Progressive shoulder muscle wasting,"Scapuloperoneal myopathy, myh7-related"
Progressive lower leg muscle weakness,"Scapuloperoneal myopathy, myh7-related"
Nausea,Alpine syndrome
Dizziness,Alpine syndrome
Disorientation,Alpine syndrome
Headaches,Alpine syndrome
Pale skin,Alpine syndrome
Clammy skin,Alpine syndrome
Persistent abdominal pain,Albatross syndrome
Dependence on pain-killing drugs,Albatross syndrome
Intermittent nausea,Albatross syndrome
Nutrient deficiencies,Albatross syndrome
Intermittent vomiting,Albatross syndrome
Generalized tonic-clonic seizures,"Familial febrile convulsions, 6"
Normal psychomotor development,"Familial febrile convulsions, 6"
Hypotonic seizures,"Familial febrile convulsions, 6"
Hypertonic seizures,"Familial febrile convulsions, 6"
Seizures associated with fever,"Familial febrile convulsions, 6"
Bone pain,Osteochondroses
Bone deformities,Osteochondroses
Skeletal deformity e.g. kyphosis,Osteochondroses
May cause movement problems,Osteochondroses
Abnormal bone growth,Osteochondroses
Bronchiectasis,Williams-campbell syndrome
Cough,Williams-campbell syndrome
Absence of bronchial annular cartilage,Williams-campbell syndrome
Purulent sputum,Williams-campbell syndrome
Pulmonary infections,Williams-campbell syndrome
Pneumonia,Williams-campbell syndrome
Amyloid deposits in brain arteries,"Amyloidosis, cerebroarterial, hereditary, italian type"
Multiple brain hemorrhages,"Amyloidosis, cerebroarterial, hereditary, italian type"
Progressive dementia,"Amyloidosis, cerebroarterial, hereditary, italian type"
Hemorrhages,"Amyloidosis, cerebroarterial, hereditary, italian type"
Neck tenderness,Vocal cord carcinoma
Breathing difficulties,Vocal cord carcinoma
Broadened larynx,Vocal cord carcinoma
Swallowing difficulties,Vocal cord carcinoma
Hoarseness,Vocal cord carcinoma
Easy muscle fatigue,Enolase deficiency type 3
Exercise intolerance,Enolase deficiency type 3
Muscle weakness,Enolase deficiency type 3
Exercise intolreance,Enolase deficiency type 3
Muscle pain,Enolase deficiency type 3
Myalgias,Enolase deficiency type 3
Hypersomnia,Atypical depression
Mood reactivity,Atypical depression
Longstanding pattern of interpersonal rejection sensitivity,Atypical depression
Increased appetite,Atypical depression
Leaden paralysis,Atypical depression
Weight gain,Atypical depression
Facial anomalies,Choanal atresia -- deafness -- cardiac defects -- dysmorphia
Deafness,Choanal atresia -- deafness -- cardiac defects -- dysmorphia
Choanal atresia,Choanal atresia -- deafness -- cardiac defects -- dysmorphia
Cardiac defects,Choanal atresia -- deafness -- cardiac defects -- dysmorphia
Limb deformities,Annular constricting bands
Limb swelling,Annular constricting bands
Limb amputation,Annular constricting bands
Digital amputation,Annular constricting bands
Digital deformity,Annular constricting bands
Clubfoot,Annular constricting bands
Inguinal pain,Retrofascial space abscess
Pain on internally rotating hip,Retrofascial space abscess
Pain on extending leg,Retrofascial space abscess
Flexed hip,Retrofascial space abscess
Behavioral disturbances,Borna disease
Mental illness,Borna disease
Movement disturbances,Borna disease
Depression,Borna disease
Behaviors which affect ability to function fully in daily life,Behavioral disorders
Anxiety,Behavioral disorders
Social problems,Behavioral disorders
Panic,Behavioral disorders
Obsessive-compulsive behaviors,Behavioral disorders
Unusual behaviors,Behavioral disorders
Anxiety,Belonephobia
Trembling,Belonephobia
Feeling of panic,Belonephobia
Feeling of terror,Belonephobia
Extreme avoidance measures taken,Belonephobia
Shortness of breath,Belonephobia
Blindness,Aniridia iii
Absence of iris,Aniridia iii
Vision impairments,Aniridia iii
Partial absence of iris,Aniridia iii
Mental retardation,Aniridia iii
Continuous body twisting and turning,Ziehen-oppenheim syndrome
Abnormal leg movements,Ziehen-oppenheim syndrome
Inverted foot,Ziehen-oppenheim syndrome
Adducted foot,Ziehen-oppenheim syndrome
Flexed foot,Ziehen-oppenheim syndrome
Poor reflexes,Ziehen-oppenheim syndrome
Sparse or absent eyelashes,Atrichia with papular lesions
Sparse or absent eyebrows,Atrichia with papular lesions
Loss of scalp hair soon after birth,Atrichia with papular lesions
Extensive papular rash,Atrichia with papular lesions
Absent body hair,Atrichia with papular lesions
Tender parotid glands,Suppurative parotitis
Pus seeping from parotid duct,Suppurative parotitis
Swelling on side of face,Suppurative parotitis
Warm parotid glands,Suppurative parotitis
Swollen parotid glands,Suppurative parotitis
Hyperactivity,Allergic irritability syndrome
Irritability,Allergic irritability syndrome
Allergic rhinitis,Allergic irritability syndrome
Temper tantrums,Allergic irritability syndrome
Aching shoulder,Bicipital tendinosis
Tenderness over bicipital groove,Bicipital tendinosis
Shoulder pain,Bicipital tendinosis
Shoulder pain when performing overhead activities,Bicipital tendinosis
Shoulder pain when lifting heavy objects,Bicipital tendinosis
Cleft palate,Del (4) (pter-p16.2)
Mental retardation,Del (4) (pter-p16.2)
Seizures,Del (4) (pter-p16.2)
Cleft lips,Del (4) (pter-p16.2)
Retarded growth,Del (4) (pter-p16.2)
Psychomotor retardation,Aniridia ataxia renal agenesis psychomotor retardation
Absent irises,Aniridia ataxia renal agenesis psychomotor retardation
Ataxia,Aniridia ataxia renal agenesis psychomotor retardation
Underdeveloped kidneys,Aniridia ataxia renal agenesis psychomotor retardation
Blindness,Aniridia i
Absence of iris,Aniridia i
Vision impairments,Aniridia i
Partial absence of iris,Aniridia i
Early-onset senility,Ruvalcaba-churesigaew-myhre syndrom
Hypogonadism,Ruvalcaba-churesigaew-myhre syndrom
Thin skin,Ruvalcaba-churesigaew-myhre syndrom
Hardening of blood vessels,Ruvalcaba-churesigaew-myhre syndrom
Eye problems,Ruvalcaba-churesigaew-myhre syndrom
Anxiety,Arachnephobia
Trembling,Arachnephobia
Feeling of panic,Arachnephobia
Feeling of terror,Arachnephobia
Extreme avoidance measures taken,Arachnephobia
Shortness of breath,Arachnephobia
Progressive los of visual acuity,Bothnia retina dystrophy
Blindness,Bothnia retina dystrophy
Night blindness,Bothnia retina dystrophy
Electroretinogram abnormalities,Bothnia retina dystrophy
Retinitis punctata albescens,Bothnia retina dystrophy
Nausea,Autumn crocus poisoning
Temporary hair loss,Autumn crocus poisoning
Diarrhea,Autumn crocus poisoning
Abdominal pain,Autumn crocus poisoning
Hemoglobinuria,Autumn crocus poisoning
Increased blood pressure,Autumn crocus poisoning
Anxiety,Amathophobia
Trembling,Amathophobia
Feeling of panic,Amathophobia
Feeling of terror,Amathophobia
Extreme avoidance measures taken,Amathophobia
Shortness of breath,Amathophobia
Tooth decay,Agenesis of salivary glands and lacrimal glands
Absent salivary glands,Agenesis of salivary glands and lacrimal glands
Absent lacrimal glands,Agenesis of salivary glands and lacrimal glands
Absent duct openings,Agenesis of salivary glands and lacrimal glands
Lack of tears,Agenesis of salivary glands and lacrimal glands
Lack of infant tears,"Alacrimia, congenital"
Underdeveloped lacrimal glands,"Alacrimia, congenital"
Corneal erosions,"Alacrimia, congenital"
Absent tear duct opening,"Alacrimia, congenital"
Imagining music,Auditory seizure
Hearing sounds that don't exist,Auditory seizure
Imagining voices,Auditory seizure
Imagining sounds,Auditory seizure
Daytime drowsiness,Peduncular hallucinosis
Hallucinations,Peduncular hallucinosis
Seeing bright vivid images that don't exist,Peduncular hallucinosis
Sleep problems,Peduncular hallucinosis
Visual hallucinations,Peduncular hallucinosis
Toe walking,Hip subluxation
Limp,Hip subluxation
Partial dislocation of hips,Hip subluxation
Waddling walk,Hip subluxation
Hip pain,Hip subluxation
Unequal leg lengths,Hip subluxation
Nephritis,Adult-onset renal failure
Protein in urine,Adult-onset renal failure
Increased blood pressure,Adult-onset renal failure
Blood in urine,Adult-onset renal failure
Increased urination,Adult-onset renal failure
Blindness,Amyloidosis of gingiva and conjunctiva mental retardation
Leukoma,Amyloidosis of gingiva and conjunctiva mental retardation
Thick gums,Amyloidosis of gingiva and conjunctiva mental retardation
Mental retardation,Amyloidosis of gingiva and conjunctiva mental retardation
Swollen eyelids,Amyloidosis of gingiva and conjunctiva mental retardation
Coma,Amlodipine toxicity
Metabolic acidosis,Amlodipine toxicity
Hypotension,Amlodipine toxicity
Bradycardia,Amlodipine toxicity
Hyperglycemia,Amlodipine toxicity
Refractory epilepsy,Agyria pachygyria polymicrogyria
Abnormal brain development,Agyria pachygyria polymicrogyria
Polymicrogyria,Agyria pachygyria polymicrogyria
Pachygyria,Agyria pachygyria polymicrogyria
Agyria,Agyria pachygyria polymicrogyria
Mental retardation,Agyria pachygyria polymicrogyria
Anterior schwalbe line,Anterior segment mesenchymal dysgenesis
Corneal opacities,Anterior segment mesenchymal dysgenesis
Reduced visual acuity,Anterior segment mesenchymal dysgenesis
Cataract,Anterior segment mesenchymal dysgenesis
Burning skin,Annular pustular psoriasis
Itchy skin,Annular pustular psoriasis
Ring shaped skin lesions with clearing in the middle,Annular pustular psoriasis
Ringed skin lesions,Annular pustular psoriasis
Stinging skin,Annular pustular psoriasis
Skin peeling,Annular pustular psoriasis
Urticaria,Giant silkworm poisoning
Itching,Giant silkworm poisoning
Localized skin redness,Giant silkworm poisoning
Skin rashes,Giant silkworm poisoning
Nausea,Chemical poisoning -- baking powder
Diarrhea,Chemical poisoning -- baking powder
Abdominal pain,Chemical poisoning -- baking powder
Increased thirst,Chemical poisoning -- baking powder
Facial paralysis,Lissauer paralysis
Dementia,Lissauer paralysis
Weakness on one side of body,Lissauer paralysis
Transient lazy eye,Lissauer paralysis
Seizures,Lissauer paralysis
Aphasia,Lissauer paralysis
Septicemia,Central line infection
Swelling at iv insertion point,Central line infection
Redness at iv insertion point,Central line infection
Pain at iv insertion point,Central line infection
Fever,Central line infection
Synotia,Agnathia-microstomia-synotia
Small  mouth,Agnathia-microstomia-synotia
Small lower jaw,Agnathia-microstomia-synotia
Absent lower jaw,Agnathia-microstomia-synotia
Apraxia,"Ataxia -- apraxia -- mental retardation, x-linked"
Mental retardation,"Ataxia -- apraxia -- mental retardation, x-linked"
Ataxia,"Ataxia -- apraxia -- mental retardation, x-linked"
Seizures,"Ataxia -- apraxia -- mental retardation, x-linked"
Clubfeet,"Ataxia -- apraxia -- mental retardation, x-linked"
Headache on one side of the back of the head,Bárány syndrome
Periodic deafness on same side as headache,Bárány syndrome
Vertigo,Bárány syndrome
Tinnitus,Bárány syndrome
Cleft palate,Cleft lip palate incisor and finger anomalies
Finger anomalies,Cleft lip palate incisor and finger anomalies
Incisor anomalies,Cleft lip palate incisor and finger anomalies
Cleft lips,Cleft lip palate incisor and finger anomalies
Lack of movement,Akinetic mutism
Unresponsive to pain,Akinetic mutism
Apathy,Akinetic mutism
Inability to talk,Akinetic mutism
Welts,Adult onset angioedema
Skin pain,Adult onset angioedema
Skin swelling,Adult onset angioedema
Skin warmth,Adult onset angioedema
Spasticity,Agyria-pachygyria type 1
Small brain,Agyria-pachygyria type 1
Broad shallow brain gyre,Agyria-pachygyria type 1
Smooth brain,Agyria-pachygyria type 1
Mental retardation,Agyria-pachygyria type 1
Seizures,Agyria-pachygyria type 1
Anxiety,Lazarus complex
Recurring nightmares,Lazarus complex
Feeling of alienation,Lazarus complex
Depression,Lazarus complex
Mood disturbances,Lazarus complex
Abnormal lipid deposits,Lipid metabolism conditions
Early death in some cases,Lipid metabolism conditions
Abnormal lipid metabolism,Lipid metabolism conditions
Abnormal lipid levels,Lipid metabolism conditions
Syringomyelia,Aminoacylase 1 deficiency
Psychomotor delays,Aminoacylase 1 deficiency
Reduced muscle tone,Aminoacylase 1 deficiency
Seizures,Aminoacylase 1 deficiency
Reduced muscle tone,Chromosome 6pter-p24 deletion syndrome
Developmental delay,Chromosome 6pter-p24 deletion syndrome
Prominent forehead,Chromosome 6pter-p24 deletion syndrome
Abnormal skull shape,Chromosome 6pter-p24 deletion syndrome
Suprapubic pain,Bladder conditions
Haematuria,Bladder conditions
Rigidity over the lower abdomen,Bladder conditions
Distended bladder,Bladder conditions
Urinary retention,Bladder conditions
Small  mouth,Carpal deformity -- micrognathia -- microstomia
Wrist pain,Carpal deformity -- micrognathia -- microstomia
Small jaw,Carpal deformity -- micrognathia -- microstomia
Wrist bone defect,Carpal deformity -- micrognathia -- microstomia
Headaches,Sub acute angle closure glaucoma
Coloured haloes around light,Sub acute angle closure glaucoma
Eyeache,Sub acute angle closure glaucoma
Vision impairments,Sub acute angle closure glaucoma
Red skin lesion - early symptom,Diabetes-like pressure ulcer
Progressive tissue damage at site of ulcer,Diabetes-like pressure ulcer
Open skin sore,Diabetes-like pressure ulcer
Skin blistering,Diabetes-like pressure ulcer
Mild limb shortening,Brachyrachia
Short trunk dwarfism,Brachyrachia
Mild minor end plate irregularity,Brachyrachia
Rounded vertebral edges,Brachyrachia
Abnormal curvature of the spine,Brachyrachia
Enlarged liver,Intrahepatic cholangiocarcinoma
Jaundice,Intrahepatic cholangiocarcinoma
Abdominal pain,Intrahepatic cholangiocarcinoma
Abdominal mass,Intrahepatic cholangiocarcinoma
Itching,Intrahepatic cholangiocarcinoma
Anorexia,Intrahepatic cholangiocarcinoma
Enlarged pupils,"Aniridia, sporadic"
Absent irises,"Aniridia, sporadic"
Poor vision,"Aniridia, sporadic"
Impaired vision,"Aniridia, sporadic"
